Technical Intelligence Division,Canadian Forces Intelligence Command,Canadian Forces Intelligence Command,INT
Signals Intelligence Division,Canadian Forces Intelligence Command,Canadian Forces Intelligence Command,INT
Geospatial Intelligence Division,Canadian Forces Intelligence Command,Canadian Forces Intelligence Command,INT
Personnel Policy Division,Military Personnel Command,Military Personnel Command,HR
Recruiting Division,Military Personnel Command,Military Personnel Command,HR
Personnel Support Division,Military Personnel Command,Military Personnel Command,HR
Personnel Systems Division,Military Personnel Command,Military Personnel Command,IT
Career Management Division,Military Personnel Command,Military Personnel Command,HR
Training Standards Division,Military Personnel Command,Military Personnel Command,MAN
Personnel Research Division,Military Personnel Command,Military Personnel Command,HR
Strategic Planning Division,Strategic Joint Staff,Strategic Joint Staff,STR
Strategic Analysis Division,Strategic Joint Staff,Strategic Joint Staff,STR
Operations Coordination Division,Strategic Joint Staff,Strategic Joint Staff,STR
Policy Development Division,Strategic Joint Staff,Strategic Joint Staff,STR
International Relations Division,Strategic Joint Staff,Strategic Joint Staff,STR
NORAD Operations Division,North American Aerospace Defense Command,North American Aerospace Defense Command,JOP
NORAD Intelligence Division,North American Aerospace Defense Command,North American Aerospace Defense Command,INT
NORAD Communications Division,North American Aerospace Defense Command,North American Aerospace Defense Command,COM
NORAD Engineering Division,North American Aerospace Defense Command,North American Aerospace Defense Command,ENG
NORAD Planning Division,North American Aerospace Defense Command,North American Aerospace Defense Command,STR
Strategic Defence Policy Division,ADM Policy,Deputy Minister,STR
Continental Defence Policy Division,ADM Policy,Deputy Minister,STR
International Security Policy Division,ADM Policy,Deputy Minister,STR
Defence Intergovernmental Affairs Division,ADM Policy,Deputy Minister,STR
Policy Coordination Division,ADM Policy,Deputy Minister,STR
Costing and Investment Planning Division,ADM Finance,Deputy Minister,ADM
Strategic Financial Governance Division,ADM Finance,Deputy Minister,ADM
Financial Operations and Services Division,ADM Finance,Deputy Minister,ADM
Land Equipment Program Management Division,ADM Materiel,Deputy Minister,ENG
Naval Equipment Program Management Division,ADM Materiel,Deputy Minister,ENG
Air Equipment Program Management Division,ADM Materiel,Deputy Minister,ENG
Weapons and Ammunition Division,ADM Materiel,Deputy Minister,ENG
Procurement Division,ADM Materiel,Deputy Minister,ADM
Materiel Systems and Supply Chain Division,ADM Materiel,Deputy Minister,ADM
Portfolio Requirements Division,ADM Infrastructure and Environment,Deputy Minister,ADM
Infrastructure Engineering Services Division,ADM Infrastructure and Environment,Deputy Minister,ENG
Strategic Portfolio Initiatives Division,ADM Infrastructure and Environment,Deputy Minister,STR
Indigenous Affairs Division,ADM Infrastructure and Environment,Deputy Minister,ADM
Environmental Sustainable Management Division,ADM Infrastructure and Environment,Deputy Minister,ADM
HR Operations Division,ADM Human Resources Civilian,Deputy Minister,HR
HR Strategic Directions Division,ADM Human Resources Civilian,Deputy Minister,HR
Workforce Development Division,ADM Human Resources Civilian,Deputy Minister,HR
Workplace Management Division,ADM Human Resources Civilian,Deputy Minister,HR
Civilian Compensation and Benefits Division,ADM Human Resources Civilian,Deputy Minister,HR
R&D Science and Engineering Division,Defence Research and Development Canada,ADM Defence Research and Development Canada,ENG
R&D Innovation Division,Defence Research and Development Canada,ADM Defence Research and Development Canada,ENG
R&D Strategic Partnerships Division,Defence Research and Development Canada,ADM Defence Research and Development Canada,STR
R&D Program Division,Defence Research and Development Canada,ADM Defence Research and Development Canada,STR
R&D Policy and Advice Division,Defence Research and Development Canada,ADM Defence Research and Development Canada,STR
Operational Research and Analysis Division,Defence Research and Development Canada,ADM Defence Research and Development Canada,STR
Data and AI Division,Digital Services Group,ADM Digital Services,IT
Enterprise IT Division,Digital Services Group,ADM Digital Services,IT
Cyber Operations Division,Digital Services Group,ADM Digital Services,IT
Digital Products and Services Division,Digital Services Group,ADM Digital Services,IT
IM and Knowledge Management Division,Digital Services Group,ADM Digital Services,IT
ERP Modernization Division,Digital Services Group,ADM Digital Services,IT
Internal Audit Division,ADM Review Services,ADM Review Services,ADM
Evaluation Division,ADM Review Services,ADM Review Services,ADM
Public Affairs Operations Division,ADM Public Affairs,ADM Public Affairs,COM
Strategic Communications Division,ADM Public Affairs,ADM Public Affairs,COM
Media Relations Division,ADM Public Affairs,ADM Public Affairs,COM
